Private:Deposits,Private:Loans,Private:GovBonds,Private:Currency,Private:NetWorth,Banks:Loans,Banks:Reserves,Banks:Deposits,Banks:BankEquity,Government:TGA,Government:GovBonds,Government:GovEquity,CentralBank:Reserves,CentralBank:Currency,CentralBank:TGA,CentralBank:GovBonds,CentralBank:CBEq
1697.677441974435,1721.2175604560287,7283.376305813478,0.0,7259.8361873318845,1721.2175604560287,227.36209394225824,1697.677441974435,250.902212423852,0.0,7283.376305813478,-7283.376305813478,227.36209394225824,0.0,0.0,0.0,-227.36209394225824
1710.5669569124539,1738.429736060589,7378.807590558414,0.0,7350.944811410278,1738.429736060589,227.74103076549534,1710.5669569124539,255.60380991363036,0.0,7378.807590558414,-7378.807590558414,227.74103076549534,0.0,0.0,0.0,-227.74103076549534
1723.5819609502848,1755.8140334211948,7474.439064404086,0.0,7442.206991933175,1755.8140334211948,228.12059915010448,1723.5819609502848,260.35267162101445,0.0,7474.439064404086,-7474.439064404086,228.12059915010448,0.0,0.0,0.0,-228.12059915010448
1736.7237061405515,1773.3721737554067,7570.271221561683,0.0,7533.622753946828,1773.3721737554067,228.500800148688,1736.7237061405515,265.1492677635433,0.0,7570.271221561683,-7570.271221561683,228.500800148688,0.0,0.0,0.0,-228.500800148688
1749.993457054038,1791.1058954929608,7666.30455816962,0.0,7625.1921197306965,1791.1058954929608,228.88163481560252,1749.993457054038,269.99407325452535,0.0,7666.30455816962,-7666.30455816962,228.88163481560252,0.0,0.0,0.0,-228.88163481560252
1763.3924909048692,1809.0169544478904,7762.539572306779,0.0,7716.9151087637565,1809.0169544478904,229.26310420696188,1763.3924909048692,274.8875677499832,0.0,7762.539572306779,-7762.539572306779,229.26310420696188,0.0,0.0,0.0,-229.26310420696188
1776.9220976769425,1827.1071239923692,7858.9767640058735,0.0,7808.791737690446,1827.1071239923692,229.64520938064015,1776.9220976769425,279.8302356960671,0.0,7858.9767640058735,-7858.9767640058735,229.64520938064015,0.0,0.0,0.0,-229.64520938064015
1790.5835802516224,1845.378195232293,7955.616635266934,0.0,7900.822020286263,1845.378195232293,230.02795139627457,1790.5835802516224,284.82256637694513,0.0,7955.616635266934,-7955.616635266934,230.02795139627457,0.0,0.0,0.0,-230.02795139627457
1804.3782545367144,1863.8319771846159,8052.459690070915,0.0,7993.005967423012,1863.8319771846159,230.41133131526834,1804.3782545367144,289.8650539631699,0.0,8052.459690070915,-8052.459690070915,230.41133131526834,0.0,0.0,0.0,-230.41133131526834
1818.3074495967257,1882.470296956462,8149.506434393424,0.0,8085.343587033687,1882.470296956462,230.7953502007938,1818.3074495967257,294.95819756053015,0.0,8149.506434393424,-8149.506434393424,230.7953502007938,0.0,0.0,0.0,-230.7953502007938
