Money_M1,Private_Debt,Private_Bonds,Bank_Reserves,Private_NFA,Banks_NFA,NonGov_NFA,Public_NFP,Sector_Balance_Check
2798.0802442942527,2366.5720404730514,10434.75825917768,479.6132226258796,10866.266462998883,448.10501880467837,11314.371481803562,-11314.371481803562,0.0
2815.8557914343182,2390.237760877782,10536.80581034897,480.4125779969228,10962.423840905505,454.7945474403864,11417.218388345891,-11417.218388345895,-3.637978807091713e-12
2833.8039229996984,2414.14013848656,10639.070271178347,481.21326562691763,11058.734055691486,461.54948111377917,11520.283536805266,-11520.283536805266,0.0
2851.926360525442,2438.2815398714256,10741.552204492527,482.0152877362958,11155.197025146543,468.37046708227945,11623.567492228822,-11623.567492228825,-3.637978807091713e-12
2870.224842758356,2462.66435527014,10844.252175534673,482.81864654918957,11251.81266302289,475.2581590609734,11727.070822083864,-11727.070822083864,0.0
2888.7011258291222,2487.290998822841,10947.17075198213,483.62334429343815,11348.58087898841,482.213217287157,11830.794096275567,-11830.794096275571,-3.637978807091713e-12
2907.356983426132,2512.1639088110696,11050.308503964337,484.42938320059386,11445.5015785794,489.23630858553133,11934.73788716493,-11934.737887164933,-1.8189894035458565e-12
2926.1942069710612,2537.2855478991805,11153.666004080902,485.23676550592825,11542.574663152784,496.32810643404764,12038.902769586832,-12038.902769586832,0.0
2945.214605796198,2562.6584033781724,11257.243827419834,486.04549344843826,11639.80002983786,503.48929103041246,12143.289320868273,-12143.289320868274,-1.8189894035458565e-12
2964.4200073235493,2588.2849874119543,11361.04255157596,486.85556927085224,11737.177571487555,510.72054935925735,12247.898120846812,-12247.898120846814,-1.8189894035458565e-12
2983.8122572457314,2614.167837286074,11465.062756669498,487.666995219637,11834.707176629156,518.0225752599795,12352.729751889136,-12352.729751889137,-1.8189894035458565e-12
3003.393219708677,2640.3095156589347,11569.30502536482,488.4797735450031,11932.388729414562,525.3960694952611,12457.784798909823,-12457.784798909825,-1.8189894035458565e-12
3023.1647774961602,2666.712610815524,11673.76994288937,489.29390650091153,12030.222109570006,532.841739820275,12563.06384939028,-12563.063849390284,-3.637978807091713e-12
3043.1288322161768,2693.379736923679,11778.458097052777,490.1093963450798,12128.207192345275,540.3603010525821,12668.567493397857,-12668.567493397859,-1.8189894035458565e-12
3063.287304489181,2720.313534292916,11883.370078266129,490.92624533898834,12226.343848462395,547.952475142723,12774.296323605118,-12774.296323605118,0.0
3083.6421341382083,2747.516669635845,11988.506479561442,491.7444557478867,12324.631944063805,555.6189912455234,12880.250935309328,-12880.25093530933,-1.8189894035458565e-12
3104.195280380896,2774.9918363322035,12093.867896611298,492.5640298407999,12423.071340659992,563.3605857921075,12986.4319264521,-12986.4319264521,0.0
3124.948722023428,2802.7417546955257,12199.454927748679,493.38496989053453,12521.66189507658,571.1780025626322,13092.839897639213,-13092.839897639215,-1.8189894035458565e-12
3145.9044576564174,2830.769172242481,12305.26817398697,494.2072781736854,12620.403459400906,579.0719927597493,13199.475452160656,-13199.475452160657,-1.8189894035458565e-12
3167.064505852748,2859.076863964906,12411.308239040163,495.03095697064157,12719.295880928006,587.0433150827994,13306.339196010806,-13306.339196010807,-1.8189894035458565e-12
3188.430905367391,2887.667632604555,12517.575729343245,495.8560085655927,12818.339002106082,595.0927358027566,13413.431737908839,-13413.431737908839,0.0
3210.0057153392277,2916.5443089306004,12624.071254072773,496.6824352465354,12917.5326604814,603.2210288379083,13520.753689319308,-13520.75368931931,-1.8189894035458565e-12
3231.791015494881,2945.7097520199063,12730.79542516765,497.5102393052797,13016.876688642624,611.4289758303053,13628.30566447293,-13628.305664472931,-1.8189894035458565e-12
3253.788906354593,2975.1668495401054,12837.748857350081,498.3394230374553,13116.37091416457,619.7173662229675,13736.088280387537,-13736.08828038754,-1.8189894035458565e-12
3276.001509440156,3004.9185180355066,12944.93216814675,499.1699887425177,13216.015159551398,628.0869973378685,13844.102156889267,-13844.10215688927,-3.637978807091713e-12
3298.4309674849264,3034.9677032158615,13052.345977910161,500.00193872375525,13315.809242179226,636.5386744546904,13952.347916633917,-13952.347916633918,-1.8189894035458565e-12
3321.0794446459367,3065.31738024802,13159.990909840211,500.8352752882949,13415.752974238127,645.073210890378,14060.826185128504,-14060.826185128508,-3.637978807091713e-12
3343.9491267181284,3095.9705540505,13267.86759000595,501.6700007471087,13515.846162673579,653.6914280794804,14169.53759075306,-14169.53759075306,0.0
